nombre_completo,nombre,universo,url,Intelligence,Strength,Speed,Durability,Power,Combat,Tier,Tier2,superpoderes,heroe
Gravik,Gravik,Marvel Cinematic Universe,https://www.superherodb.com/gravik/10-59139/,70,80,80,35,100,45,4,,"['Aura', 'Bloodlust', 'Cold Resistance', 'Dexterity', 'Energy Absorption', 'Energy Beams', 'Energy Blasts', 'Energy Manipulation', 'Energy Resistance', 'Fire Resistance', 'Flight', 'Heat Generation', 'Heat Resistance', 'Intelligence', 'Levitation', 'Marksmanship', 'Master Martial Artist', 'Memory Manipulation', 'Quantum Manipulation', 'Radiation Immunity', 'Reflexes', 'Shapeshifting', 'Spaceflight', 'Super Speed', 'Super Strength', 'Telekinesis', 'Toxin and Disease Resistance', 'Transformation', 'Weapon Creation', 'Weapons Master', 'Accelerated Healing', 'Acid Resistants', 'Agility', 'Animal Attributes', 'Elasticity', 'Electricity Resistance', 'Endurance', 'Ice Manipulation', 'Illusion Resistance', 'Invisibility', 'Invulnerability', 'Longevity', 'Master Tactician', 'Multilingualism', 'Natural Armor', 'Natural Weapons', 'Phasing', 'Plant Control', 'Regeneration', 'Size Changing', 'Stamina', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Ahasan', 'Rotemeg', 'Aleazlllll', 'amaltaas', 'Chronicler', 'All Users']",Gravik
Groot,Groot,Marvel Cinematic Universe,https://www.superherodb.com/groot/10-12501/,30,30,11,25,50,55,1,,"['Accelerated Healing', 'Durability', 'Elasticity', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Accelerated Development', 'Agility', 'Cold Resistance', 'Electricity Resistance', 'Endurance', 'Gliding', 'Jump', 'Marksmanship', 'Reflexes', 'Regeneration', 'Resurrection', 'Toxin and Disease Resistance', 'Dexterity', 'Energy Resistance', 'Heat Resistance', 'Illumination', 'Invulnerability', 'Radiation Immunity', 'Shapeshifting', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Guardians of the Galaxy', 'Groot', 'Mcu Superheroes', 'My Collection', 'Roleplaying Collection', 'Rotemeg', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Chronicler', 'All Users']",Groot
Clint Barton,Hawkeye,Marvel Cinematic Universe,https://www.superherodb.com/hawkeye/10-12498/,65,8,8,12,20,80,1,,"['Archery', 'Durability', 'Gadget Usage', 'Grappling/Climbing', 'Intelligence', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Peak Human Condition', 'Reflexes', 'Stamina', 'Stealth', 'Throwing Proficiency', 'Weapon-based Powers', 'Weapons Master', 'Explosion Manipulation', 'Hacking', 'Weapon Creation', 'Acid Manipulation', 'Acrobatics', 'Agility', 'Electrokinesis', 'Enhanced Hearing', 'Enhanced Sight', 'Fearless', 'Smoke Manipulation', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Avengers', 'Hawkeye', ""All The Characters I've Edited"", 'Avengers: Age Of Ultron (2015)', 'Avengers: Endgame (2019)', 'Movie Heroes', 'My Collection', 'Roleplaying Collection', 'White Ranked Warriors', 'Ahasan', 'Rotemeg', 'Aleazlllll', 'amaltaas', 'Chronicler', 'All Users']",Hawkeye
Kate Bishop,Hawkeye,Marvel Cinematic Universe,https://www.superherodb.com/hawkeye/10-24365/,60,1,6,9,10,75,1,,"['Agility', 'Durability', 'Intelligence', 'Marksmanship', 'Reflexes', 'Acrobatics', 'Archery', 'Endurance', 'Master Martial Artist', 'Stealth', 'Weapons Master', 'Berserk Mode', 'Disguise Mastery', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Hawkeye', 'Ahasan', 'Rotemeg', 'Aleazlllll', 'amaltaas', 'Chronicler', 'All Users']",Hawkeye (Variant)
Heimdall,Heimdall,Marvel Cinematic Universe,https://www.superherodb.com/heimdall/10-13882/,75,25,25,30,35,85,2,,"['Cold Resistance', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Intelligence', 'Master Tactician', 'Omni-Sense', 'Reflexes', 'Stamina', 'Super Speed', 'Super Strength', 'Swordsmanship', 'Telepathy', 'Vision - Microscopic', 'Vision - Night', 'Vision - Telescopic', 'Weapons Master', 'Accelerated Healing', 'Agility', 'Endurance', 'Heat Resistance', 'Immortality', 'Jump', 'Longevity', 'Marksmanship', 'Master Martial Artist', 'Stealth', 'Dexterity', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Revengers', 'Heimdall', 'Avengers: Infinity War (2018)', 'My Collection', 'Thor: Ragnarok (2017) 🔨🌩', 'Thor: The Dark World (2013)', 'Rotemeg', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Chronicler', 'All Users']",Heimdall
Hela Odinsdottir,Hela,Marvel Cinematic Universe,https://www.superherodb.com/hela/10-12595/,90,100,50,60,90,95,4,,"['Accelerated Development', 'Accelerated Healing', 'Acid Resistants', 'Acrobatics', 'Adaptation', 'Agility', 'Attack Negation', 'Bloodlust', 'Cloth Manipulation', 'Cold Resistance', 'Cosmic Awareness', 'Dexterity', 'Durability', 'Electricity Resistance', 'Endurance', 'Energy Resistance', 'Enhanced Condition', 'Fear Inducement', 'Fearless', 'Fire Resistance', 'Heat Resistance', 'Intelligence', 'Interstellar Travel', 'Invulnerability', 'Jump', 'Leadership', 'Longevity', 'Magic', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Multilingualism', 'Pain Suppression', 'Portal Creation', 'Radiation Immunity', 'Reactive Power Level', 'Reflexes', 'Regeneration', 'Self-Sustenance', 'Shockwaves Generation', 'Space Survivability', 'Stamina', 'Statistics Amplification', 'Summoning', 'Super Speed', 'Super Strength', 'Swordsmanship', 'Toxin and Disease Resistance', 'Weapon Creation', 'Weapon Summoning', 'Weapon-based Powers', 'Weapons Master', 'Berserk Mode', 'Danmaku', 'Darkforce Manipulation', 'Deception', 'Dimensional Awareness', 'Dimensional Travel', 'Durability Negation', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Godly Physiology', 'Hellfire Resistance', 'Immortality', 'Indomitable Will', 'Intimidation', 'Levitation', 'Magic Resistance', 'Matter Manipulation', 'Necromancy', 'Precognition', 'Seismic Power', 'Social Influencing', 'Soul Resistance', 'Stealth', 'Teleportation', 'Terrakinesis', 'Animal Control', 'Bullet Time', 'Dig', 'Energy Manipulation', 'Flight', 'Grim Reaping', 'Hair Manipulation', 'Madness Manipulation', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Hela', ""All The Characters I've Edited"", 'My Collection', 'Red Ranked Warriors', 'Thor: Ragnarok (2017) 🔨🌩', 'Rotemeg', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Chronicler', 'All Users']",Hela
Herbert Edgar Wyndham,High Evolutionary,Marvel Cinematic Universe,https://www.superherodb.com/high-evolutionary/10-52969/,95,5,8,30,70,30,2,,"['EMP Generation', 'Energy Blasts', 'Energy Manipulation', 'Gravity Control', 'Information Analysis', 'Intelligence', 'Intuitive aptitude', 'Levitation', 'Longevity', 'Robotic Engineering', 'Telekinesis', 'Berserk Mode', 'Cyborgization', 'Energy Resistance', 'Force Fields', 'Heat Generation', 'Insanity', 'Intimidation', 'Marksmanship', 'Master Tactician', 'Multilingualism', 'Power Suit', 'Preparation', 'Social Influencing', 'Spatial Manipulation', 'Toxin and Disease Resistance', 'Vehicular Mastery', 'Weapons Master', 'Immortality', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'High Evolutionary', 'Rotemeg', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Chronicler', 'All Users']",High Evolutionary
Bruce Banner,Hulk (Stark Gauntlet),Marvel Cinematic Universe,https://www.superherodb.com/hulk-stark-gauntlet/10-16956/,85,100,100,100,100,70,6,,"['Accelerated Healing', 'Afterimage Creation', 'Agility', 'Astral Projection', 'Astral Trap', 'Attack Reflection', 'Berserk Mode', 'Black Hole Manipulation', 'Bullet Time', 'Clairvoyance', 'Clairvoyance Resistance', 'Cold Resistance', 'Conceptual Manipulation', 'Corruption Resistance', 'Creation', 'Curse Resistance', 'Death Manipulation', 'Death Touch', 'Deconstruction', 'Dexterity', 'Dimensional Travel', 'Dream Manipulation', 'Durability', 'Electricity Resistance', 'Element Control', 'Emotional Power Up', 'Empathy', 'Endurance', 'Energy Absorption', 'Energy Beams', 'Energy Blasts', 'Energy Constructs', 'Energy Manipulation', 'Energy Resistance', 'Enhanced Condition', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Entropy Projection', 'Existence Erasure', 'Existence Erasure Resistance', 'Fire Control', 'Force Fields', 'Fusion', 'Heat Generation', 'Heat Resistance', 'Illusions', 'Information Analysis', 'Intangibility', 'Intelligence', 'Interstellar Travel', 'Invisibility', 'Invulnerability', 'Jump', 'Life Manipulation', 'Matter Manipulation', 'Mind Control', 'Mind Control Resistance', 'Portal Creation', 'Possession Resistance', 'Power Absorption', 'Power Nullifier', 'Projection', 'Radiation Absorption', 'Radiation Control', 'Radiation Immunity', 'Rage Power', 'Reality Warping', 'Shockwaves Generation', 'Soul Manipulation', 'Soul Resistance', 'Spatial Manipulation', 'Stamina', 'Statistics Amplification', 'Super Speed', 'Super Strength', 'Telekinesis', 'Telepathy Resistance', 'Teleportation', 'Terrakinesis', 'Time Manipulation', 'Time Manipulation Resistance', 'Toxin and Disease Resistance', 'Transmutation Immunity', 'Vibration Manipulation', 'Weapon-based Powers', 'Acid Resistants', 'Animal Control', 'Antimatter Manipulation', 'Banish', 'Causality Resistance', 'Disguise Resistance', 'EMP Generation', 'Fate Manipulation', 'Fate Resistance', 'Fire Resistance', 'Hellfire Resistance', 'Holy Resistance', 'Illusion Resistance', 'Longevity', 'Magic Resistance', 'Matter Absorption', 'Molecular Manipulation', 'Necromancy', 'Pain Manipulation', 'Petrification', 'Pocket Dimensions', 'Power Absorption Immunity', 'Power Bestowal', 'Precognition', 'Preparation', 'Purification', 'Reality Warping Resistance', 'Reflexes', 'Regeneration', 'Resurrection', 'Sealing', 'Seismic Power', 'Statistics Reduction', 'Status Effect Inducement', 'Telepathy', 'Time Travel', 'Transformation', 'Vortex Creation', 'Weather Control', 'Wind Control', 'Acausality', 'Immortality', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Hulk', 'My Collection', 'Rotemeg', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Chronicler', 'All Users']",Hulk (Stark Gauntlet)
Bruce Banner,Hulk,Marvel Cinematic Universe,https://www.superherodb.com/hulk/10-12494/,60,100,35,55,75,70,3,3,"['Accelerated Healing', 'Agility', 'Berserk Mode', 'Cold Resistance', 'Durability', 'Emotional Power Up', 'Endurance', 'Energy Resistance', 'Fearless', 'Fire Resistance', 'Gamma Mutant Physiology', 'Intelligence', 'Jump', 'Longevity', 'Radiation Absorption', 'Radiation Immunity', 'Rage Power', 'Reflexes', 'Seismic Power', 'Stamina', 'Super Speed', 'Super Strength', 'Supernatural Condition', 'Toxin and Disease Resistance', 'Underwater breathing', 'Acrobatics', 'Adaptation', 'Attack Negation', 'Attack Reflection', 'Bloodlust', 'Damage Boost', 'Dig', 'Electricity Resistance', 'Fear Inducement', 'Heat Resistance', 'Immortality', 'Indomitable Will', 'Invulnerability', 'Large Size', 'Master Martial Artist', 'Mind Control Resistance', 'Multiple Personalities', 'Regeneration', 'Shockwaves Generation', 'Space Survivability', 'Telepathy Resistance', 'Transformation', 'Weapons Master', 'Durability Negation', 'Gadget Usage', 'Magic Resistance', 'Master Tactician', 'Vehicular Mastery', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Avengers', 'Revengers', 'Hulk', 'Avengers: Age Of Ultron (2015)', 'Avengers: Endgame (2019)', 'Avengers: Infinity War (2018)', 'Mcu Superheroes', 'Movie Heroes', 'My Collection', 'Red Ranked Warriors', 'Roleplaying Collection', 'The Incredible Hulk (2008)', 'Thor: Ragnarok (2017) 🔨🌩', 'Rotemeg', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Chronicler', 'All Users']",Hulk
Ikaris,Ikaris,Marvel Cinematic Universe,https://www.superherodb.com/ikaris/10-26890/,75,50,100,55,75,75,3,3,"['Accelerated Healing', 'Acid Resistants', 'Agility', 'Cold Resistance', 'Durability', 'Endurance', 'Energy Beams', 'Energy Manipulation', 'Energy Resistance', 'Fire Resistance', 'Flight', 'Heat Resistance', 'Intelligence', 'Longevity', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Reflexes', 'Soul Resistance', 'Space Survivability', 'Stamina', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Acrobatics', 'Dexterity', 'Electricity Resistance', 'Energy Blasts', 'Heat Generation', 'Immortality', 'Indomitable Will', 'Inorganic Physiology', 'Invulnerability', 'Jump', 'Leadership', 'Levitation', 'Magic Resistance', 'Multilingualism', 'Radiation Immunity', 'Regeneration', 'Self-Sustenance', 'Stealth', 'Vision - Night', 'Energy Constructs', 'Illumination', 'Interstellar Travel', 'Reality Warping Resistance', 'Time Manipulation Resistance', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Mcu Superheroes', 'Rotemeg', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Chronicler', 'All Users']",Ikaris
Danny Rand,Iron Fist,Marvel Cinematic Universe,https://www.superherodb.com/iron-fist/10-15088/,65,25,25,15,30,100,1,,"['Berserk Mode', 'Chi Manipulation', 'Marksmanship', 'Master Martial Artist', 'Peak Human Condition', 'Reflexes', 'Stealth', 'Swordsmanship', 'Weapons Master', 'Accelerated Healing', 'Acrobatics', 'Agility', 'Cold Resistance', 'Empathy', 'Endurance', 'Energy Absorption', 'Energy Blasts', 'Master Tactician', 'Multilingualism', 'Pain Suppression', 'Regeneration', 'Stamina', 'Jump', 'Shockwaves Generation', 'Statistics Amplification', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Iron Fist', 'Rotemeg', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Chronicler', 'All Users']",Iron Fist
Tony Stark,Iron Man,Marvel Cinematic Universe,https://www.superherodb.com/iron-man/10-12496/,85,75,30,40,40,40,3,,"['Durability', 'Energy Beams', 'Intelligence', 'Intuitive aptitude', 'Master Tactician', 'Super Speed', 'Super Strength', 'Agility', 'Audio Control', 'Changing Armor', 'Cold Resistance', 'Electricity Absorption', 'Electricity Resistance', 'Energy Absorption', 'Energy Blasts', 'Energy Resistance', 'Explosion Manipulation', 'Fire Control', 'Fire Resistance', 'Flight', 'Heat Generation', 'Heat Resistance', 'Information Analysis', 'Levitation', 'Light Control', 'Mechanical Aptitude', 'Power Suit', 'Preparation', 'Radar Sense', 'Reflexes', 'Robotic Engineering', 'Technopath/Cyberpath', 'Vision - Night', 'Vision - Telescopic', 'Vision - X-Ray', 'Weapon-based Powers', 'Weapons Master', 'Master Martial Artist', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Avengers', 'Iron Man', ""All The Characters I've Edited"", 'Avengers: Age Of Ultron (2015)', 'Avengers: Endgame (2019)', 'Blue Ranked Warriors', 'Columbia Pictures Marvel And Dark Horse Movie Heroes', 'Iron Man', 'Iron Man Live Action Armors', ""Mcu Spider-man's Friends And Allies"", 'Mcu Superheroes', 'Movie Heroes', 'My Collection', 'Roleplaying Collection', 'The Incredible Hulk (2008)', 'Rotemeg', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Chronicler', 'All Users']",Iron Man
Tony Stark,Iron Man (Mk 1),Marvel Cinematic Universe,https://www.superherodb.com/iron-man-mk-1/10-22137/,85,30,10,25,20,20,1,,"['Durability', 'Energy Blasts', 'Intelligence', 'Stamina', 'Acrobatics', 'Damage Boost', 'Endurance', 'Energy Armor', 'Energy Resistance', 'Hacking', 'Heat Generation', 'Heat Resistance', 'Information Analysis', 'Intuitive aptitude', 'Marksmanship', 'Master Tactician', 'Mechanical Aptitude', 'Preparation', 'Robotic Engineering', 'Technological Possession', 'Weapon Creation', 'Weapon-based Powers', 'Weapons Master', 'Fire Control', 'Flight', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Iron Man', 'Iron Man', 'Iron Man Live Action Armors', 'White Ranked Warriors', 'Rotemeg', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Chronicler', 'All Users']",Iron Man (MK 1)
Tony Stark,Iron Man (Stark Gauntlet),Marvel Cinematic Universe,https://www.superherodb.com/iron-man-stark-gauntlet/10-16953/,85,100,100,100,100,70,6,6++,"['Acid Resistants', 'Agility', 'Antimatter Manipulation', 'Astral Projection', 'Astral Trap', 'Attack Reflection', 'Audio Control', 'Black Hole Manipulation', 'Bullet Time', 'Causality Resistance', 'Clairvoyance Resistance', 'Cold Resistance', 'Conceptual Manipulation', 'Corruption Resistance', 'Creation', 'Curse Resistance', 'Death Manipulation', 'Deconstruction', 'Dexterity', 'Dimensional Travel', 'Dream Manipulation', 'Durability', 'Durability Negation', 'Electricity Absorption', 'Electricity Resistance', 'Element Control', 'Endurance', 'Energy Absorption', 'Energy Armor', 'Energy Beams', 'Energy Blasts', 'Energy Constructs', 'Energy Manipulation', 'Energy Resistance', 'Fire Control', 'Fire Resistance', 'Flight', 'Force Fields', 'Heat Resistance', 'Illusion Resistance', 'Illusions', 'Intelligence', 'Interstellar Travel', 'Invulnerability', 'Life Manipulation', 'Light Control', 'Matter Absorption', 'Matter Manipulation', 'Mind Control', 'Mind Control Resistance', 'Molecular Manipulation', 'Pain Manipulation', 'Petrification', 'Physics Manipulation', 'Portal Creation', 'Power Absorption', 'Power Absorption Immunity', 'Power Nullifier', 'Preparation', 'Projection', 'Reality Warping', 'Reality Warping Resistance', 'Reflexes', 'Resurrection', 'Sealing', 'Shockwaves Generation', 'Size Changing', 'Soul Manipulation', 'Soul Resistance', 'Spatial Manipulation', 'Stamina', 'Statistics Amplification', 'Super Speed', 'Super Strength', 'Technopath/Cyberpath', 'Telepathy Resistance', 'Teleportation', 'Time Manipulation', 'Time Manipulation Resistance', 'Toxin and Disease Resistance', 'Vehicular Mastery', 'Vibration Manipulation', 'Weapon Creation', 'Accelerated Healing', 'Age Manipulation', 'Banish', 'Clairvoyance', 'Dark Matter Manipulation', 'Death Touch', 'Existence Erasure', 'Existence Erasure Resistance', 'Explosion Manipulation', 'Fate Manipulation', 'Fusion', 'Gravity Control', 'Heat Generation', 'Immortality', 'Indomitable Will', 'Information Analysis', 'Intangibility', 'Invisibility', 'Large Size', 'Levitation', 'Magic Resistance', 'Master Tactician', 'Necromancy', 'Power Bestowal', 'Precognition', 'Radar Sense', 'Radiation Absorption', 'Radiation Control', 'Radiation Immunity', 'Regeneration', 'Robotic Engineering', 'Spatial Awareness', 'Telekinesis', 'Telepathy', 'Terrakinesis', 'Time Travel', 'Vision - Microscopic', 'Vision - Night', 'Vision - Telescopic', 'Vision - X-Ray', 'Weapons Master', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Iron Man', ""All The Characters I've Edited"", 'Iron Man', 'My Collection', 'Roleplaying Collection', 'Rotemeg', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Chronicler', 'All Users']",Iron Man (Stark Gauntlet)
Tony Stark,Iron Man (Hulkbuster),Marvel Cinematic Universe,https://www.superherodb.com/iron-man-hulkbuster/10-18649/,75,75,25,40,60,70,3,,"['Durability', 'Endurance', 'Energy Blasts', 'Intelligence', 'Stamina', 'Super Speed', 'Super Strength', 'Weapon-based Powers', 'Acrobatics', 'Agility', 'Changing Armor', 'Cold Resistance', 'Electricity Absorption', 'Electricity Resistance', 'Energy Beams', 'Energy Resistance', 'Enhanced Sight', 'Explosion Manipulation', 'Fire Resistance', 'Flight', 'Heat Generation', 'Heat Resistance', 'Invulnerability', 'Jump', 'Marksmanship', 'Reflexes', 'Robotic Engineering', 'Stealth', 'Technopath/Cyberpath', 'Toxin and Disease Resistance', 'Vision - Infrared', 'Vision - Night', 'Vision - Telescopic', 'Vision - Thermal', 'Weapons Master', 'Dexterity', 'Hacking', 'Master Tactician', 'Radiation Immunity', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Iron Man', 'Iron Man', 'Iron Man Live Action Armors', 'My Collection', 'Rotemeg', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Chronicler', 'All Users']",Iron Man (Hulkbuster)
Obadiah Stane,Iron Monger,Marvel Cinematic Universe,https://www.superherodb.com/iron-monger/10-13973/,65,50,25,35,30,20,2,,"['Durability', 'Intelligence', 'Super Speed', 'Super Strength', 'Energy Beams', 'Energy Blasts', 'Energy Resistance', 'Explosion Manipulation', 'Fire Resistance', 'Flight', 'Heat Resistance', 'Levitation', 'Power Suit', 'Vision - Night', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Iron Monger', 'Movie Heroes', 'My Collection', 'Rotemeg', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Chronicler', 'All Users']",Iron Monger
Peter Parker,Iron Spider,Marvel Cinematic Universe,https://www.superherodb.com/iron-spider/10-12563/,85,30,25,25,40,60,1,,"['Acrobatics', 'Agility', 'Animal Oriented Powers', 'Cold Resistance', 'Disguise Mastery', 'Durability', 'Endurance', 'Enhanced Condition', 'Hacking', 'Heat Resistance', 'Instinctive Reaction', 'Intelligence', 'Jump', 'Nanotechnology', 'Peak Human Condition', 'Reflexes', 'Space Survivability', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Surface Scaling', 'Wallcrawling', 'Web Creation', 'Accelerated Healing', 'Animal Attributes', 'Danger Sense', 'Dexterity', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Enhanced Smell', 'Enhanced Touch', 'Extrasensory Perception', 'Gadget Usage', 'Grappling/Climbing', 'Heat Generation', 'Illusion Resistance', 'Indomitable Will', 'Master Martial Artist', 'Master Tactician', 'Power Suit', 'Preparation', 'Pressure Points', 'Scanning', 'Toxin and Disease Resistance', 'Vision - Heat', 'Vision - Night', 'Vision - Thermal', 'Weapon-based Powers', 'Electrokinesis', 'Energy Blasts', 'Energy Resistance', 'Gliding', 'Information Analysis', 'Invulnerability', 'Soul Resistance', 'Technopath/Cyberpath', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Avengers', 'Iron Spider', 'Avengers: Endgame (2019)', 'Avengers: Infinity War (2018)', 'Blue Ranked Warriors', 'Characters Who Can Solo Five Night At Freddy', 'My Collection', 'My Favorite Characters ⭐ Pcf Updated', 'Roleplaying Collection', 'Spider-man: No Way Home (2021)', 'Rotemeg', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Chronicler', 'All Users']",Iron Spider
Riri Williams,Ironheart,Marvel Cinematic Universe,https://www.superherodb.com/ironheart/10-29214/,80,25,25,20,30,30,1,,"['Agility', 'Cold Resistance', 'Energy Blasts', 'Energy Constructs', 'Fire Resistance', 'Flight', 'Hacking', 'Heat Resistance', 'Information Analysis', 'Intuitive aptitude', 'Levitation', 'Mechanical Aptitude', 'Power Suit', 'Reflexes', 'Robotic Engineering', 'Stamina', 'Vehicular Mastery', 'Weapon-based Powers', 'Acrobatics', 'Weapon Creation', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Ironheart', 'A-force (mcu)', 'Rotemeg', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Chronicler', 'All Users']",Ironheart
Jemiah,Jemiah The Analyzer,Marvel Cinematic Universe,https://www.superherodb.com/jemiah-the-analyzer/10-30336/,100,100,100,90,100,30,6,5++,"['Accelerated Healing', 'Acid Resistants', 'Agility', 'Animation', 'Antimatter Manipulation', 'Banish', 'Black Hole Manipulation', 'Clairvoyance', 'Cold Resistance', 'Cosmic Awareness', 'Creation', 'Dark Matter Manipulation', 'Durability', 'Electricity Resistance', 'Element Control', 'Endurance', 'Energy Beams', 'Energy Blasts', 'Energy Constructs', 'Energy Manipulation', 'Energy Resistance', 'Explosion Manipulation', 'Fire Resistance', 'Flight', 'Godly Physiology', 'Gravity Control', 'Heat Generation', 'Heat Resistance', 'Illumination', 'Immortality', 'Information Analysis', 'Inorganic Physiology', 'Intelligence', 'Interstellar Travel', 'Invulnerability', 'Jump', 'Large Size', 'Latent Abilities', 'Life Manipulation', 'Light Control', 'Longevity', 'Matter Manipulation', 'Nigh-Omniscience', 'Radiation Control', 'Radiation Immunity', 'Reality Warping Resistance', 'Reflexes', 'Self-Sustenance', 'Shockwaves Generation', 'Size Changing', 'Soul Resistance', 'Space Survivability', 'Spaceflight', 'Spatial Awareness', 'Stamina', 'Stealth', 'Summoning', 'Super Speed', 'Super Strength', 'Telekinesis', 'Telepathy', 'Telepathy Resistance', 'Terrakinesis', 'Time Manipulation Resistance', 'Toxin and Disease Resistance', 'Underwater breathing', 'Vision - Night', 'Vision - Telescopic', 'Vision - X-Ray', 'Vortex Creation', 'Accelerated Development', 'Age Manipulation', 'Attack Negation', 'Aura', 'Corruption Resistance', 'Danger Sense', 'Dexterity', 'Disguise Resistance', 'Energy Absorption', 'Hellfire Resistance', 'Indomitable Will', 'Levitation', 'Mind Control Resistance', 'Portal Creation', 'Possession Resistance', 'Power Bestowal', 'Power Modification', 'Regeneration', 'Spatial Manipulation', 'Toxin and Disease Control', 'Wishing', 'Master Martial Artist', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Rotemeg', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Chronicler', 'All Users']",Jemiah the Analyzer
Jessica Jones,Jessica Jones,Marvel Cinematic Universe,https://www.superherodb.com/jessica-jones/10-15089/,60,25,13,15,20,60,1,,"['Stamina', 'Agility', 'Dexterity', 'Endurance', 'Heat Resistance', 'Information Analysis', 'Jump', 'Master Martial Artist', 'Mind Control Resistance', 'Reflexes', 'Accelerated Healing', 'Regeneration', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Jessica Jones', 'Rotemeg', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Chronicler', 'All Users']",Jessica Jones
Kaecilius,Kaecilius,Marvel Cinematic Universe,https://www.superherodb.com/kaecilius/10-16353/,75,25,25,35,80,70,4,4,"['Durability', 'Gravity Control', 'Intelligence', 'Matter Manipulation', 'Portal Creation', 'Stamina', 'Super Speed', 'Super Strength', 'Teleportation', 'Acrobatics', 'Agility', 'Anti-Gravity', 'Astral Projection', 'Dexterity', 'Dimensional Travel', 'Endurance', 'Energy Absorption', 'Energy Beams', 'Energy Blasts', 'Energy Constructs', 'Energy Manipulation', 'Energy Resistance', 'Fire Resistance', 'Force Fields', 'Illumination', 'Interstellar Travel', 'Invulnerability', 'Jump', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Power Absorption', 'Reality Warping', 'Reflexes', 'Stealth', 'Telekinesis', 'Weapon Creation', 'Weapons Master', 'Cold Resistance', 'Heat Resistance', 'Immortality', 'Soul Manipulation', 'Weapon-based Powers', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'My Collection', 'Rotemeg', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Chronicler', 'All Users']",Kaecilius
