,nombre_completo,nombre,universo,url,Intelligence,Strength,Speed,Durability,Power,Combat,Tier,Tier2,superpoderes,heroe
111,Okoye,Okoye,Marvel Cinematic Universe,https://www.superherodb.com/okoye/10-16699/,65,6,7,5,5,80,1,,"['Intelligence', 'Peak Human Condition', 'Stamina', 'Weapons Master', 'Acrobatics', 'Indomitable Will', 'Marksmanship', 'Master Martial Artist', 'Stealth', 'Agility', 'Dexterity', 'Durability Negation', 'Endurance', 'Master Tactician', 'Reflexes', 'Weapon-based Powers', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'A-force (mcu)', 'Avengers: Endgame (2019)', 'Avengers: Infinity War (2018)', 'My Collection', 'Chronicler', 'BlotskyA', 'yes', 'MoNsTeR', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'All Users']",Okoye
112,,Outrider,Marvel Cinematic Universe,https://www.superherodb.com/outrider/10-26731/,45,20,8,10,10,45,1,,"['Durability', 'Stamina', 'Super Speed', 'Agility', 'Animal Attributes', 'Animal Oriented Powers', 'Endurance', 'Stealth', 'Cold Resistance', 'Dexterity', 'Energy Resistance', 'Fire Resistance', 'Natural Armor', 'Reflexes', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', '#shdb - Horde Characters', 'Chronicler', 'BlotskyA', 'yes', 'MoNsTeR', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'All Users']",Outrider
113,,Pepper Potts (Extremis),Marvel Cinematic Universe,https://www.superherodb.com/pepper-potts-extremis/10-31841/,65,25,6,20,35,35,1,,"['Accelerated Healing', 'Berserk Mode', 'Cold Resistance', 'Heat Generation', 'Reflexes', 'Agility', 'Rage Power', 'Fear Inducement', 'Fire Control', 'Fire Resistance', 'Heat Resistance', 'Regeneration', 'Stealth', 'Toxin and Disease Resistance', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'BlotskyA', 'Chronicler', 'yes', 'MoNsTeR', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'All Users']",Pepper Potts (Extremis)
114,,Phastos,Marvel Cinematic Universe,https://www.superherodb.com/phastos/10-28125/,90,30,11,45,75,65,3,3,"['Acid Resistants', 'Cold Resistance', 'Durability', 'Heat Resistance', 'Intelligence', 'Longevity', 'Nanotechnology', 'Reflexes', 'Stamina', 'Stealth', 'Super Strength', 'Technopath/Cyberpath', 'Toxin and Disease Resistance', 'Weapon Creation', 'Weapon-based Powers', 'Weapons Master', 'Accelerated Healing', 'Creation', 'Dexterity', 'Endurance', 'Energy Blasts', 'Energy Constructs', 'Energy Manipulation', 'Energy Resistance', 'Fire Resistance', 'Force Fields', 'Illusions', 'Immortality', 'Inorganic Physiology', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Matter Manipulation', 'Radiation Control', 'Radiation Immunity', 'Regeneration', 'Self-Sustenance', 'Soul Resistance', 'Weapon Summoning', 'Agility', 'Animation', 'Electricity Resistance', 'Heat Generation', 'Illumination', 'Latent Abilities', 'Levitation', 'Power Augmentation', 'Power Nullifier', 'Reality Warping Resistance', 'Time Manipulation Resistance', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Chronicler', 'BlotskyA', 'yes', 'MoNsTeR', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'All Users']",Phastos
115,Monica Rambeau,Photon,Marvel Cinematic Universe,https://www.superherodb.com/photon/10-25795/,70,75,50,60,80,70,4,4+,"['Electro-Magnetism Manipulation', 'Energy Absorption', 'Energy Beams', 'Energy Blasts', 'Energy Manipulation', 'Energy Resistance', 'Flight', 'Intangibility', 'Light Control', 'Phasing', 'Reflexes', 'Sealing', 'Self-Sustenance', 'Spaceflight', 'Super Speed', 'Super Strength', 'Vision - Thermal', 'Ability Shift', 'Accelerated Healing', 'Adaptation', 'Agility', 'Attack Negation', 'Aura', 'Cold Resistance', 'Energy Armor', 'Energy Constructs', 'Enhanced Touch', 'Extrasensory Perception', 'Force Fields', 'Heat Resistance', 'Illumination', 'Invulnerability', 'Levitation', 'Longevity', 'Marksmanship', 'Radiation Absorption', 'Radiation Control', 'Radiation Immunity', 'Size Changing', 'Space Survivability', 'Stamina', 'Supernatural Condition', 'Vehicular Mastery', 'Invisibility', 'Magic Resistance', 'Mind Control Resistance', 'Power Suit', 'Reality Warping Resistance', 'Regeneration', 'Weapons Master', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Chronicler', 'BlotskyA', 'yes', 'MoNsTeR', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'All Users']",Photon
116,Proxima Midnight,Proxima Midnight,Marvel Cinematic Universe,https://www.superherodb.com/proxima-midnight/10-16757/,70,20,11,15,40,90,1,,"['Durability', 'Intelligence', 'Stamina', 'Super Speed', 'Super Strength', 'Agility', 'Dexterity', 'Endurance', 'Longevity', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Reflexes', 'Stealth', 'Weapons Master', 'Acrobatics', 'Cold Resistance', 'Jump', 'Weapon-based Powers', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Proxima Midnight', 'Avengers: Endgame (2019)', 'My Collection', 'Ahasan', 'Chronicler', 'BlotskyA', 'yes', 'MoNsTeR', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'All Users']",Proxima Midnight
117,Daisy Johnson,Quake,Marvel Cinematic Universe,https://www.superherodb.com/quake/10-15429/,65,25,20,25,60,90,3,,"['Hacking', 'Marksmanship', 'Master Martial Artist', 'Seismic Power', 'Stealth', 'Vibration Manipulation', 'Acrobatics', 'Dexterity', 'Durability Negation', 'Energy Blasts', 'Energy Manipulation', 'Flight', 'Force Fields', 'Levitation', 'Pressure Points', 'Reflexes', 'Shockwaves Generation', 'Weapons Master', 'Energy Absorption', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Quake', 'BlotskyA', 'Chronicler', 'Ahasan', 'yes', 'MoNsTeR', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'All Users']",Quake
118,Pietro Maximoff,Quicksilver,Marvel Cinematic Universe,https://www.superherodb.com/quicksilver/10-12507/,60,25,70,15,55,65,2,,"['Durability', 'Endurance', 'Intelligence', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Acrobatics', 'Afterimage Creation', 'Agility', 'Aura', 'Dexterity', 'Jump', 'Reflexes', 'Accelerated Healing', 'Regeneration', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Quicksilver', 'Avengers: Age Of Ultron (2015)', 'Captain America: Winter Soldier (2014)', 'Movie Heroes', 'My Collection', 'My Favorite Characters ⭐ Pcf Updated', 'Roleplaying Collection', 'BlotskyA', 'Ahasan', 'Chronicler', 'yes', 'MoNsTeR', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'All Users']",Quicksilver
119,Alexei Shostakov,Red Guardian,Marvel Cinematic Universe,https://www.superherodb.com/red-guardian/10-18374/,50,25,14,10,25,65,1,,"['Stamina', 'Super Speed', 'Super Strength', 'Agility', 'Endurance', 'Reflexes', 'Accelerated Healing', 'Acrobatics', 'Jump', 'Marksmanship', 'Stealth', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Red Guardian', 'Ahasan', 'BlotskyA', 'Chronicler', 'yes', 'MoNsTeR', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'All Users']",Red Guardian
120,Johann Shmidt,Red Skull (Stonekeeper),Marvel Cinematic Universe,https://www.superherodb.com/red-skull-stonekeeper/10-12612/,75,25,25,20,40,70,1,,"['Cold Resistance', 'Dexterity', 'Endurance', 'Extrasensory Perception', 'Intelligence', 'Master Martial Artist', 'Stamina', 'Toxin and Disease Resistance', 'Agility', 'Flight', 'Immortality', 'Levitation', 'Marksmanship', 'Master Tactician', 'Reflexes', 'Vehicular Mastery', 'Weapons Master', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'red skull', 'Avengers: Endgame (2019)', 'Avengers: Infinity War (2018)', 'BlotskyA', 'Ahasan', 'Chronicler', 'yes', 'MoNsTeR', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'All Users']",Red Skull (Stonekeeper)
121,Johann Shmidt,Red Skull,Marvel Cinematic Universe,https://www.superherodb.com/red-skull/10-12613/,70,25,14,15,20,60,1,,"['Dexterity', 'Endurance', 'Intelligence', 'Peak Human Condition', 'Stamina', 'Agility', 'Cold Resistance', 'Jump', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Reflexes', 'Toxin and Disease Resistance', 'Vehicular Mastery', 'Weapons Master', 'Accelerated Healing', 'Regeneration', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'S.W.O.R.D.', 'red skull', 'My Collection', 'Roleplaying Collection', 'BlotskyA', 'yes', 'Chronicler', 'Ahasan', 'MoNsTeR', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'All Users']",Red Skull
122,Pepper Potts,Rescue,Marvel Cinematic Universe,https://www.superherodb.com/rescue/10-16833/,60,35,30,30,60,65,3,,"['Durability', 'Endurance', 'Flight', 'Intelligence', 'Nanotechnology', 'Stamina', 'Super Speed', 'Super Strength', 'Acrobatics', 'Agility', 'Cold Resistance', 'Dexterity', 'Electricity Absorption', 'Electricity Resistance', 'Energy Beams', 'Energy Blasts', 'Energy Resistance', 'Enhanced Sight', 'Fire Resistance', 'Heat Generation', 'Heat Resistance', 'Information Analysis', 'Jump', 'Marksmanship', 'Reflexes', 'Stealth', 'Vision - Infrared', 'Vision - Night', 'Vision - Telescopic', 'Vision - Thermal', 'Weapon Creation', 'Weapon-based Powers', 'Changing Armor', 'Hacking', 'Invulnerability', 'Radiation Immunity', 'Technopath/Cyberpath', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Rescue', 'A-force (mcu)', 'Avengers: Endgame (2019)', 'My Collection', 'Chronicler', 'Ahasan', 'yes', 'BlotskyA', 'MoNsTeR', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'All Users']",Rescue
123,Rocket Raccoon,Rocket Raccoon,Marvel Cinematic Universe,https://www.superherodb.com/rocket-raccoon/10-12503/,90,5,19,25,25,65,1,1+,"['Animal Attributes', 'Animal Oriented Powers', 'Enhanced Thievery', 'Gadget Usage', 'Intelligence', 'Marksmanship', 'Stamina', 'Stealth', 'Super Speed', 'Weapons Master', 'Accelerated Healing', 'Acrobatics', 'Agility', 'Cyborgization', 'Dexterity', 'Endurance', 'Enhanced Condition', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Enhanced Smell', 'Enhanced Taste', 'Enhanced Touch', 'Leadership', 'Master Martial Artist', 'Master Tactician', 'Nanotechnology', 'Natural Weapons', 'Reflexes', 'Vehicular Mastery', 'Anti-Gravity', 'Electrokinesis', 'Energy Beams', 'Energy Blasts', 'Explosion Manipulation', 'Flight', 'Force Fields', 'Gravity Control', 'Heat Generation', 'Illumination', 'Laser Manipulation', 'Latent Abilities', 'Multilingualism', 'Sleep Manipulation', 'Weapon-based Powers', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'S.W.O.R.D.', 'Rocket Raccoon', 'Avengers: Endgame (2019)', 'Avengers: Infinity War (2018)', 'Mcu Superheroes', 'My Collection', 'Roleplaying Collection', 'Ahasan', 'Chronicler', 'yes', 'BlotskyA', 'MoNsTeR', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'All Users']",Rocket Raccoon
124,Ronan,Ronan The Accuser (Power Stone),Marvel Cinematic Universe,https://www.superherodb.com/ronan-the-accuser-power-stone/10-19621/,85,100,25,100,100,95,5,,"['Accelerated Healing', 'Conceptual Manipulation', 'Deconstruction', 'Dexterity', 'Durability', 'Energy Blasts', 'Energy Manipulation', 'Energy Resistance', 'Explosion Manipulation', 'Force Fields', 'Intelligence', 'Longevity', 'Master Martial Artist', 'Master Tactician', 'Matter Manipulation', 'Radiation Immunity', 'Self-Sustenance', 'Shockwaves Generation', 'Stamina', 'Statistics Amplification', 'Super Speed', 'Super Strength', 'Telekinesis', 'Toxin and Disease Resistance', 'Weapons Master', 'Acid Resistants', 'Agility', 'Cold Resistance', 'Electricity Resistance', 'Endurance', 'Energy Absorption', 'Energy Beams', 'Energy Constructs', 'Fire Resistance', 'Heat Resistance', 'Immortality', 'Jump', 'Marksmanship', 'Reflexes', 'Regeneration', 'Vaporising Beams', 'Weapon-based Powers', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Ronan The Accuser', 'Ahasan', 'Chronicler', 'yes', 'BlotskyA', 'MoNsTeR', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'All Users']",Ronan the Accuser (Power Stone)
125,Ronan,Ronan The Accuser,Marvel Cinematic Universe,https://www.superherodb.com/ronan-the-accuser/10-13069/,65,55,25,35,55,90,2,2,"['Berserk Mode', 'Bloodlust', 'Cold Resistance', 'Durability', 'Fearless', 'Fire Resistance', 'Heat Resistance', 'Longevity', 'Master Martial Artist', 'Master Tactician', 'Radiation Immunity', 'Self-Sustenance', 'Stamina', 'Toxin and Disease Resistance', 'Weapons Master', 'Accelerated Healing', 'Acid Resistants', 'Agility', 'Dexterity', 'Endurance', 'Energy Blasts', 'Energy Manipulation', 'Energy Resistance', 'Immortality', 'Invulnerability', 'Jump', 'Mind Control Resistance', 'Reflexes', 'Regeneration', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Ronan The Accuser', 'My Collection', 'Ahasan', 'Chronicler', 'yes', 'BlotskyA', 'MoNsTeR', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'All Users']",Ronan the Accuser
126,Clint Barton,Ronin,Marvel Cinematic Universe,https://www.superherodb.com/ronin/10-15921/,65,1,6,10,10,80,1,,"['Intelligence', 'Stamina', 'Stealth', 'Acrobatics', 'Agility', 'Endurance', 'Marksmanship', 'Master Martial Artist', 'Reflexes', 'Weapons Master', 'Master Tactician', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Ronin', 'Avengers: Endgame (2019)', 'Movie Heroes', 'My Collection', 'White Ranked Warriors', 'Chronicler', 'Ahasan', 'yes', 'BlotskyA', 'MoNsTeR', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'All Users']",Ronin
127,Wanda Maximoff,Scarlet Witch,Marvel Cinematic Universe,https://www.superherodb.com/scarlet-witch/10-12506/,65,1,25,30,100,60,4,4+,"['Accelerated Healing', 'Astral Projection', 'Biokinesis', 'Chaos Magic', 'Dimensional Travel', 'Dream Manipulation', 'Durability', 'Energy Blasts', 'Energy Constructs', 'Energy Manipulation', 'Force Fields', 'Hypnokinesis', 'Illusions', 'Intelligence', 'Light Control', 'Magic', 'Mind Control', 'Mind Control Resistance', 'Pocket Dimensions', 'Portal Creation', 'Possession', 'Possession Resistance', 'Regeneration', 'Stamina', 'Stealth', 'Summoning', 'Super Speed', 'Super Strength', 'Telekinesis', 'Teleportation', 'Weather Control', 'Wind Control', 'Agility', 'Bloodlust', 'Clairvoyance', 'Clairvoyance Resistance', 'Cold Resistance', 'Creation', 'Deconstruction', 'Element Control', 'Empathy', 'Endurance', 'Energy Absorption', 'Energy Resistance', 'Explosion Manipulation', 'Fear Inducement', 'Fear Manipulation', 'Fire Control', 'Fire Resistance', 'Flight', 'Heat Generation', 'Heat Resistance', 'Illumination', 'Illusion Resistance', 'Invisibility', 'Levitation', 'Magic Resistance', 'Matter Manipulation', 'Metal Manipulation', 'Mind Transfer', 'Molecular Manipulation', 'Pain Manipulation', 'Petrification', 'Plot Manipulation', 'Power Absorption', 'Power Absorption Immunity', 'Power Augmentation', 'Power Bestowal', 'Power Nullifier', 'Probability Manipulation', 'Psionic Powers', 'Psychometry', 'Reality Warping', 'Reflexes', 'Soul Resistance', 'Telepathy', 'Telepathy Resistance', 'Time Manipulation', 'Transformation', 'Vitakinesis', 'Water Control', 'Aura', 'Dexterity', 'Existence Erasure', 'Invulnerability', 'Life Manipulation', 'Master Martial Artist', 'Wishing', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Avengers', 'Scarlet Witch', 'A-force (mcu)', 'Avengers: Age Of Ultron (2015)', 'Avengers: Endgame (2019)', 'Avengers: Infinity War (2018)', 'Captain America: Winter Soldier (2014)', 'Doctor Strange In The Multiverse Of Madness (2022)', 'Movie Heroes', 'My Collection', 'My Favorite Characters ⭐ Pcf Updated', 'People Who Like Each Other:', 'Rotemeg', 'Ahasan', 'BlotskyA', 'Chronicler', 'yes', 'MoNsTeR', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'All Users']",Scarlet Witch
128,,Sersi (uni-mind),Marvel Cinematic Universe,https://www.superherodb.com/sersi-uni-mind/10-62922/,85,20,7,45,100,70,5,4++,"['Accelerated Healing', 'Acrobatics', 'Agility', 'Biokinesis', 'Cold Resistance', 'Deconstruction', 'Energy Absorption', 'Energy Manipulation', 'Energy Resistance', 'Heat Resistance', 'Immortality', 'Inorganic Physiology', 'Intelligence', 'Levitation', 'Longevity', 'Matter Manipulation', 'Metal Manipulation', 'Molecular Manipulation', 'Multilingualism', 'Petrification', 'Power Nullifier', 'Reality Warping Resistance', 'Reflexes', 'Regeneration', 'Self-Sustenance', 'Stamina', 'Super Strength', 'Telekinesis', 'Telepathy', 'Time Manipulation Resistance', 'Toxin and Disease Resistance', 'Awakened Power', 'Cosmic Awareness', 'Electro-Magnetism Manipulation', 'Energy Armor', 'Energy Embodiment', 'Fire Resistance', 'Invulnerability', 'Radiation Immunity', 'Soul Resistance', 'Water Control', 'Accelerated Development', 'Godly Physiology', 'Leadership', 'Power Suit', 'Psionic Powers', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Ahasan', 'Rotemeg', 'Chronicler', 'BlotskyA', 'yes', 'MoNsTeR', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'All Users']",Sersi (Uni-Mind)
129,Sersi,Sersi,Marvel Cinematic Universe,https://www.superherodb.com/sersi/10-26896/,65,20,11,25,80,70,2,2,"['Cold Resistance', 'Deconstruction', 'Heat Resistance', 'Longevity', 'Matter Manipulation', 'Molecular Manipulation', 'Stamina', 'Super Strength', 'Telekinesis', 'Telepathy', 'Toxin and Disease Resistance', 'Accelerated Healing', 'Acrobatics', 'Agility', 'Electro-Magnetism Manipulation', 'Energy Manipulation', 'Energy Resistance', 'Fire Resistance', 'Immortality', 'Inorganic Physiology', 'Metal Manipulation', 'Reflexes', 'Regeneration', 'Self-Sustenance', 'Soul Resistance', 'Water Control', 'Biokinesis', 'Multilingualism', 'Petrification', 'Power Nullifier', 'Reality Warping Resistance', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Mcu Superheroes', 'BlotskyA', 'Chronicler', 'Ahasan', 'Rotemeg', 'yes', 'MoNsTeR', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'All Users']",Sersi
130,Xu Shang-Chi,Shang-Chi,Marvel Cinematic Universe,https://www.superherodb.com/shang-chi/10-23558/,65,30,25,20,50,90,2,,"['Acrobatics', 'Agility', 'Durability', 'Endurance', 'Intelligence', 'Marksmanship', 'Master Martial Artist', 'Peak Human Condition', 'Reflexes', 'Stamina', 'Super Speed', 'Super Strength', 'Swordsmanship', 'Dexterity', 'Energy Blasts', 'Energy Constructs', 'Energy Manipulation', 'Force Fields', 'Homing Attack', 'Illumination', 'Indomitable Will', 'Jump', 'Shockwaves Generation', 'Stealth', 'Telekinesis', 'Weapon Summoning', 'Weapon-based Powers', 'Weapons Master', 'Wind Control', 'Cold Resistance', 'Electrokinesis', 'Heat Generation', 'Immortality', 'Latent Abilities', 'Master Tactician', 'Non-Physical Interaction', 'Summoning', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Shang-Chi', 'Mcu Superheroes', 'BlotskyA', 'Rotemeg', 'Ahasan', 'Chronicler', 'yes', 'MoNsTeR', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'All Users']",Shang-Chi
131,Jennifer Walters,She-Hulk,Marvel Cinematic Universe,https://www.superherodb.com/she-hulk/10-26901/,65,80,25,45,70,60,3,,"['Accelerated Healing', 'Agility', 'Durability', 'Emotional Power Up', 'Endurance', 'Gamma Mutant Physiology', 'Invulnerability', 'Jump', 'Plot Manipulation', 'Plot Manipulation Resistance', 'Radiation Immunity', 'Reflexes', 'Stamina', 'Super Speed', 'Super Strength', 'The Fourth Wall', 'Berserk Mode', 'Cold Resistance', 'Dexterity', 'Fire Resistance', 'Heat Resistance', 'Longevity', 'Mind Control Resistance', 'Rage Power', 'Regeneration', 'Toxin and Disease Resistance', 'Writing Manipulation', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'She-Hulk', 'A-force (mcu)', 'Mcu Superheroes', 'Rotemeg', 'Ahasan', 'BlotskyA', 'Chronicler', 'yes', 'MoNsTeR', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'All Users']",She-Hulk
132,Shuri,Shuri,Marvel Cinematic Universe,https://www.superherodb.com/shuri/10-13971/,85,1,6,15,15,30,1,,"['Intelligence', 'Peak Human Condition', 'Stamina', 'Agility', 'Cold Resistance', 'Fire Resistance', 'Heat Resistance', 'Information Analysis', 'Intuitive aptitude', 'Power Suit', 'Reflexes', 'Stealth', 'Weapons Master', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'A-force (mcu)', 'Avengers: Endgame (2019)', 'Avengers: Infinity War (2018)', 'My Collection', 'Smartest Marvel Characters', 'Ahasan', 'Rotemeg', 'BlotskyA', 'Chronicler', 'yes', 'MoNsTeR', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'All Users']",Shuri
133,Sif,Sif,Marvel Cinematic Universe,https://www.superherodb.com/sif/10-13902/,65,25,25,20,40,90,1,,"['Durability', 'Stamina', 'Accelerated Healing', 'Agility', 'Dexterity', 'Endurance', 'Enhanced Sight', 'Jump', 'Longevity', 'Marksmanship', 'Master Martial Artist', 'Reflexes', 'Swordsmanship', 'Weapons Master', 'Cold Resistance', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Sif', 'My Collection', 'Thor: The Dark World (2013)', 'Rotemeg', 'Ahasan', 'BlotskyA', 'Chronicler', 'yes', 'MoNsTeR', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'All Users']",Sif
134,Stephen Strange,Sinister Strange,Marvel Cinematic Universe,https://www.superherodb.com/sinister-strange/10-46350/,80,30,25,50,90,60,4,,"['Energy Constructs', 'Energy Manipulation', 'Magic', 'Super Speed', 'Telekinesis', 'Dream Manipulation', 'Magic Resistance', 'Possession', 'Super Breath', 'Weapon Creation', 'Weapon-based Powers', 'Weapons Master', 'Dexterity', 'Weapon Summoning', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Doctor Strange In The Multiverse Of Madness (2022)', 'Rotemeg', 'Ahasan', 'BlotskyA', 'Chronicler', 'yes', 'MoNsTeR', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'All Users']",Sinister Strange
135,Bruce Banner,Smart Hulk,Marvel Cinematic Universe,https://www.superherodb.com/smart-hulk/10-16756/,85,100,25,45,65,70,3,,"['Accelerated Healing', 'Agility', 'Durability', 'Endurance', 'Information Analysis', 'Intelligence', 'Jump', 'Radiation Absorption', 'Radiation Control', 'Radiation Immunity', 'Stamina', 'Super Speed', 'Super Strength', 'Berserk Mode', 'Cold Resistance', 'Dexterity', 'Emotional Power Up', 'Fire Resistance', 'Heat Resistance', 'Invulnerability', 'Longevity', 'Preparation', 'Rage Power', 'Reflexes', 'Toxin and Disease Resistance', 'Regeneration', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Avengers: Endgame (2019)', 'Movie Heroes', 'My Collection', 'Roleplaying Collection', 'Rotemeg', 'Ahasan', 'BlotskyA', 'Chronicler', 'yes', 'MoNsTeR', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'All Users']",Smart Hulk
136,Vision,Spectral Vision,Marvel Cinematic Universe,https://www.superherodb.com/spectral-vision/10-27390/,80,75,35,40,60,65,3,,"['Agility', 'Durability', 'Intangibility', 'Intelligence', 'Stamina', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Changing Armor', 'Cold Resistance', 'Density Control', 'Dexterity', 'Electricity Resistance', 'Endurance', 'Energy Beams', 'Energy Blasts', 'Energy Resistance', 'Enhanced Memory', 'Fire Resistance', 'Flight', 'Hacking', 'Heat Generation', 'Heat Resistance', 'Invulnerability', 'Jump', 'Longevity', 'Marksmanship', 'Master Martial Artist', 'Phasing', 'Radiation Immunity', 'Reflexes', 'Self-Sustenance', 'Stealth', 'Technopath/Cyberpath', 'Transformation', 'Acrobatics', 'Adaptation', 'Master Tactician', 'Shapeshifting', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Chronicler', 'Ahasan', 'Rotemeg', 'BlotskyA', 'yes', 'MoNsTeR', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'All Users']",Spectral Vision
137,Peter Parker,Spider-Man,Marvel Cinematic Universe,https://www.superherodb.com/spider-man/10-12514/,85,30,25,25,40,50,1,1+,"['Acrobatics', 'Agility', 'Animal Oriented Powers', 'Cold Resistance', 'Danger Sense', 'Disguise Mastery', 'Durability', 'Endurance', 'Enhanced Condition', 'Hacking', 'Instinctive Reaction', 'Intelligence', 'Jump', 'Peak Human Condition', 'Reflexes', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Surface Scaling', 'Wallcrawling', 'Web Creation', 'Accelerated Healing', 'Animal Attributes', 'Dexterity', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Enhanced Smell', 'Enhanced Touch', 'Extrasensory Perception', 'Gadget Usage', 'Grappling/Climbing', 'Heat Resistance', 'Illusion Resistance', 'Indomitable Will', 'Longevity', 'Master Martial Artist', 'Master Tactician', 'Preparation', 'Pressure Points', 'Toxin and Disease Resistance', 'Weapon-based Powers', 'Electrokinesis', 'Energy Blasts', 'Energy Resistance', 'Fire Resistance', 'Gliding', 'Information Analysis', 'Invulnerability', 'Power Suit', 'Soul Resistance', 'Technopath/Cyberpath', 'Vision - Night', 'Vision - X-Ray', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Avengers', 'Spider-Man', ""All The Characters I've Edited"", 'Avengers: Endgame (2019)', 'Avengers: Infinity War (2018)', 'Mcu Superheroes', 'Movie Heroes', 'My Collection', 'My Favorite Characters ⭐ Pcf Updated', 'Roleplaying Collection', 'Spider-man: No Way Home (2021)', 'Chronicler', 'Ahasan', 'Rotemeg', 'BlotskyA', 'yes', 'MoNsTeR', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'All Users']",Spider-Man
