Heroe 1,Heroe 2,Resultado_Comics,Resultado_Peliculas,Resultado_Combinado
Scarlet Witch,Teenage Groot,1,2,1
Shuri,Black Adam,2,1,2
Abomination,Hulk,2,1,2
Savant,Eternity,2,1,2
Ebony Maw,Captain America,2,1,2
Gargantos,Ironheart,2,1,2
Kurse,Thor (Awakened),1,2,1
Jor-El,Captain Boomerang,2,1,2
Smart Hulk,Lex Luthor,2,1,2
Fat Thor,Korath the Pursuer,2,1,2
Ant-Man,Slipknot,1,2,1
Mandarin,Iron Man,2,1,2
Queen Hippolyta,Korath the Pursuer,2,1,2
Ultron,Shuri,2,1,2
Thor,Lust,2,1,2
Black Bolt,Black Widow,2,1,2
Talos the Untamed,Starro,1,2,1
King Shark,Hulk (Stark Gauntlet),1,2,1
Ancient One (Time Stone),Killer Croc,1,2,1
Sabbac,Luke Cage,2,1,2
Mr. Fantastic (Earth-838),Hulk (Stark Gauntlet),1,2,1
El Diablo,Warlock,2,1,2
Loki,Baby Groot,1,2,1
Phastos,Namor,1,2,1
Fandral,Whiplash Mark II,2,1,2
Whiplash Mark II,Kro,2,1,2
Wolverine,Parademon,2,1,2
Ancient One (Time Stone),Ares,2,1,2
Baron Mordo,Talos the Untamed,1,2,1
Lust,Ms. America,1,2,1
Star-Lord (Celestial Power),Kid Loki,1,2,1
Hespera,Freddy Freeman,1,2,1
Gluttony,Ultron,1,2,1
Slipknot,Shazam,2,1,2
Vision,Superman,1,2,1
Nam-Ek,Gravik,1,2,1
Sol Soria,Jemiah the Analyzer,1,2,1
Ancient One (Time Stone),Ironheart,1,2,1
Vulture,King Nereus,2,1,2
Bullseye,El Diablo,2,1,2
Kro,Leviathan,2,1,2
Thor,Killer Croc,2,1,2
Kang the Conqueror,Malekith,1,2,1
Eternity,Kang the Conqueror,2,1,2
Doomsday,Mantis,2,1,2
Giant-Man,Eternity,2,1,2
Gluttony,Nebula,1,2,1
Captain Marvel,Mysterio,2,1,2
She-Hulk,White Wolf,2,1,2
Leo Fitz,Black Canary,1,2,1
Black Panther,Loki (King of Asgard),2,1,2
Red Skull (Stonekeeper),Peacemaker,1,2,1
Shuri,Hulk (Stark Gauntlet),2,1,2
Gluttony,Whiplash,2,1,2
Hulk (Stark Gauntlet),Ronan the Accuser,1,2,1
MBaku,Starro,2,1,2
Black Panther,Cyclone,2,1,2
Queen Atlanna,Mr. Fantastic (Earth-838),2,1,2
Eternity,Odin,1,2,1
Deadshot,Incubus,1,2,1
Wrath,Kurse,2,1,2
Zeus,Black Widow,1,2,1
Star-Lord (Celestial Power),She-Hulk,2,1,2
Taskmaster,Ayo,2,1,2
Echo,Polka-Dot Man,1,2,1
Sersi,Luke Cage,1,2,1
Crossbones,Envy,1,2,1
Iron Man (Hulkbuster),Kid Loki,1,2,1
Kid Loki,Spider-Man,2,1,2
Huntress,Philippus,1,2,1
Ancient One (Time Stone),Freddy Freeman,1,2,1
Darkseid,Photon,2,1,2
Hulk,Ironheart,2,1,2
Black Widow (Variant),Corvus Glaive,1,2,1
Ms. America,Sinister Strange,2,1,2
Valkyrie,Smart Hulk,1,2,1
Mandarin,Sersi (Uni-Mind),1,2,1
Loki,Luke Cage,2,1,2
Star-Lord,Jor-El,1,2,1
MODOK,Surtur,1,2,1
Nuidis Vulko,Black Mask,2,1,2
Lust,Killmonger,1,2,1
Talos the Untamed,Star-Lord (Celestial Power),2,1,2
Quake,Faora,2,1,2
Ronan the Accuser,Ronan the Accuser (Power Stone),2,1,2
Nuidis Vulko,Thor,2,1,2
Gargantos,Lust,2,1,2
Nomad,Jor-El,1,2,1
Mera,Gorr the God Butcher,2,1,2
Wolverine,Abomination,2,1,2
Ratcatcher,Rocket Raccoon,2,1,2
Judomaster,Thor,1,2,1
Makkari,Loki,2,1,2
Hulk (Stark Gauntlet),Teenage Groot,1,2,1
Bullseye,The Flash,1,2,1
Moon Knight,Captain America (Worthy),1,2,1
Heimdall,Fandral,1,2,1
Doctor Fate,Moon Knight,1,2,1
Deathlok,White Wolf,2,1,2
The Collector,Dormammu,1,2,1
Thor (Pre-Ragnarok),Daredevil,1,2,1
El Diablo,Destroyer,2,1,2
Captain Marvel,Ironheart,2,1,2
High Evolutionary,Star-Lord (Celestial Power),1,2,1
Savant,Yellowjacket,2,1,2
War Machine,Bloodsport,1,2,1
Cyclone,Dormammu,1,2,1
Red Skull,Sinister Strange,2,1,2
Mantis,Corvus Glaive,2,1,2
Thanos (Infinity Gauntlet),Star-Lord,1,2,1
Faora,Quicksilver,1,2,1
Outrider,Sol Soria,1,2,1
Rocket Raccoon,Philippus,2,1,2
Enchantress,Mr. Fantastic (Earth-838),2,1,2
Penthesileia,White Wolf,2,1,2
Red Skull (Stonekeeper),Black Mask,1,2,1
Leo Fitz,Cheetah,1,2,1
Cheetah,Nuidis Vulko,2,1,2
Scarlet Witch,Thor (Pre-Ragnarok),2,1,2
The Punisher,Mantis,2,1,2
Sabbac,King Shark,2,1,2
Fat Thor,Doomsday,2,1,2
Makkari,Surtur,1,2,1
Rick Flag,Giah,2,1,2
Photon,Groot,1,2,1
Malekith (Reality Stone),Polka-Dot Man,2,1,2
Nuidis Vulko,Sinister Strange,2,1,2
Okoye,Iron Fist,2,1,2
Iron Man (Stark Gauntlet),Mantis,1,2,1
Dark Flash,Elektra,1,2,1
Winter Soldier,Mr. Knight,2,1,2
Queen Hippolyta,Ms. Marvel,2,1,2
Nomad,El Diablo,1,2,1
Ancient One (Time Stone),Valkyrie,1,2,1
Rick Flag,Hawkeye (Variant),1,2,1
King Nereus,Savant,2,1,2
Fandral,Mighty Thor,1,2,1
Eternity,Abomination,2,1,2
Groot,Cassandra Cain,1,2,1
Mr. Knight,Red Skull,2,1,2
Nebula,Falcon,1,2,1
Leviathan,Teenage Groot,1,2,1
Cyclone,Ancient One,1,2,1
Starro,Karathen,1,2,1
She-Hulk,Ronan the Accuser,1,2,1
Luke Cage,The Great Protector,1,2,1
Doomsday,Iron Spider,1,2,1
Korg,Proxima Midnight,2,1,2
Gluttony,Echo,1,2,1
Swole Groot,Envy,2,1,2
Ikaris,White Dragon,2,1,2
Doctor Sivana,Black Canary,2,1,2
Jemiah the Analyzer,Shuri,1,2,1
Black Panther,Scarlet Witch,1,2,1
Phastos,Iron Fist,1,2,1
Vigilante,Ant-Man,1,2,1
Bullseye,Green Lantern,1,2,1
Steppenwolf,Jemiah the Analyzer,1,2,1
Eternity,Smart Hulk,2,1,2
Hawkeye (Variant),Captain Marvel,2,1,2
Ronan the Accuser (Power Stone),Black Panther,2,1,2
Cyclone,Doctor Strange,2,1,2
Mandarin,Ronin,1,2,1
Ratcatcher,Red Skull (Stonekeeper),1,2,1
Vulture,Ayo,1,2,1
Korg,Black Bolt (Earth-838),1,2,1
Enchantress,Katana,1,2,1
Killian,Ego,1,2,1
Cyclone,Karathen,2,1,2
Photon,Drax the Destroyer,1,2,1
Jemiah the Analyzer,Taskmaster,1,2,1
Shang-Chi,Black Canary,1,2,1
Daredevil,Envy,2,1,2
Phastos,Queen Hippolyta,2,1,2
Whiplash,The Flash,1,2,1
Doomsday,War Machine,2,1,2
Nick Fury,Malekith,2,1,2
Kro,Black Adam,2,1,2
Jessica Jones,Stature,2,1,2
Envy,Captain Carter (Earth-838),1,2,1
Black Mask,Black Widow,2,1,2
The Grandmaster,Hawkman,1,2,1
Ms. Marvel,Iron Man (Stark Gauntlet),2,1,2
Mighty Thor,Aquaman,2,1,2
Kid Loki,Black Panther (Variant),1,2,1
Red Guardian,Aquaman,1,2,1
Sinister Strange,Atom Smasher,2,1,2
The Executioner,Joker,2,1,2
Captain America,Batman,2,1,2
Gamora,Polka-Dot Man,1,2,1
Polka-Dot Man,Ghost,1,2,1
Cull Obsidian,Vision,1,2,1
Penthesileia,Gluttony,1,2,1
Crossbones,Teenage Groot,1,2,1
Hulk (Stark Gauntlet),Black Adam,1,2,1
Kurse,Cyclone,2,1,2
Spider-Man,The Executioner,1,2,1
Enchantress,Photon,2,1,2
Huntress,High Evolutionary,1,2,1
Ronan the Accuser,Kingo,2,1,2
Freddy Freeman,Ares,2,1,2
Abomination,Doomsday,2,1,2
Starro,Sabbac,2,1,2
Kaecilius,Swole Groot,1,2,1
Eternity,War Machine,2,1,2
Thanos (Infinity Gauntlet),Black Bolt,2,1,2
Ares,Captain Boomerang,1,2,1
Iron Fist,Korath the Pursuer,1,2,1
Batman,Valkyrie,2,1,2
Thor (Pre-Ragnarok),Baron Zemo,1,2,1
Iron Man,Killian,2,1,2
Sabbac,Ronin,1,2,1
Star-Lord (Celestial Power),MODOK,2,1,2
Superman,Corvus Glaive,1,2,1
Black Canary,Groot,2,1,2
Star-Lord (Celestial Power),Nam-Ek,1,2,1
Parademon,Spider-Man,1,2,1
Photon,Rescue,2,1,2
Katana,Lex Luthor,1,2,1
Lust,Captain Boomerang,2,1,2
Bucky Barnes,Malekith,1,2,1
Loki (Keeper of the Multiverse),Lust,2,1,2
Abomination,Sersi (Uni-Mind),2,1,2
Abomination,Wong,1,2,1
Fat Thor,Cyclone,2,1,2
Ego,Ronan the Accuser,2,1,2
Captain America,Leo Fitz,2,1,2
Loki (King of Asgard),Talos the Untamed,2,1,2
Thor,Dark Flash,2,1,2
Iron Man (Hulkbuster),The Flash,1,2,1
Yondu,Dormammu,2,1,2
Loki,Cheetah,1,2,1
Hawkeye (Variant),Ronin,2,1,2
Proxima Midnight,War Machine,2,1,2
Abomination,Deadshot,1,2,1
Loki (King of Asgard),Ares,1,2,1
Captain Carter (Earth-838),Drax the Destroyer,1,2,1
General Zod,Sinister Strange,1,2,1
Cull Obsidian,Ms. America,2,1,2
MBaku,Red Guardian,2,1,2
Ronan the Accuser (Power Stone),Sersi (Uni-Mind),1,2,1
Ghost Rider,Hela,2,1,2
Penthesileia,The Flash,2,1,2
Lust,Hela,1,2,1
Hulk (Stark Gauntlet),Mandarin,2,1,2
Smart Hulk,Red Skull (Stonekeeper),2,1,2
Outrider,Hela,2,1,2
King Shark,Kurse,1,2,1
Ares,Talos the Untamed,2,1,2
Ancient One,Killmonger,2,1,2
Slipknot,Thor (Awakened),1,2,1
Iron Man (Stark Gauntlet),Nam-Ek,2,1,2
Jemiah the Analyzer,Rick Flag,2,1,2
Loki (Mind Stone),Stature,2,1,2
Unworthy Thor,Killer Croc,2,1,2
Dar-Benn,Echo,1,2,1
Malekith,Ratcatcher,2,1,2
Slipknot,Photon,1,2,1
Loki (Keeper of the Multiverse),Whiplash,1,2,1
Hawkman,Mighty Thor,1,2,1
Phastos,Black Widow (Variant),1,2,1
Hawkeye (Variant),Shazam,2,1,2
Jemiah the Analyzer,Agatha Harkness,1,2,1
Ancient One (Time Stone),Wanda Maximoff (Pre-Wandavision),2,1,2
She-Hulk,Black Mask,2,1,2
Vigilante,Nomad,1,2,1
Iron Man (MK 1),Captain Carter (Earth-838),2,1,2
Killmonger,Makkari,1,2,1
The Executioner,Black Adam,1,2,1
Gamora,Echo,1,2,1
Lust,Rick Flag,1,2,1
War Machine,Loki (Variant L1130),1,2,1
Leviathan,Vulture,1,2,1
Ajak,High Evolutionary,1,2,1
Killer Croc,Iron Fist,2,1,2
Rocket Raccoon,Cassandra Cain,1,2,1
Kurse,Joker,2,1,2
Fandral,Killmonger,2,1,2
Thor (Awakened),Steppenwolf,2,1,2
Winter Soldier,Black Panther (Variant),2,1,2
Yondu,Quake,1,2,1
Philippus,Mr. Fantastic (Earth-838),2,1,2
Hawkeye (Variant),Thor,2,1,2
The Collector,Darkseid,1,2,1
Ancient One,Cull Obsidian,1,2,1
Thor (Pre-Ragnarok),Makkari,2,1,2
The Flash,Eternity,1,2,1
Groot,The Great Protector,1,2,1
Captain Carter (Earth-838),Cheetah,2,1,2
Ultron,Nam-Ek,2,1,2
Black Adam,Dar-Benn,1,2,1
Wanda Maximoff (Pre-Wandavision),Harley Quinn,2,1,2
Penthesileia,Atom Smasher,1,2,1
Harley Quinn,Sabbac,2,1,2
Nebula,Loki (Keeper of the Multiverse),2,1,2
Shang-Chi,Deadshot,2,1,2
Mr. Knight,Ocean Master,1,2,1
Captain Boomerang,Ajak,1,2,1
Rocket Raccoon,Kid Loki,2,1,2
Outrider,Harley Quinn,2,1,2
Black Manta,Ghost,1,2,1
Wolverine,Deadshot,2,1,2
Slipknot,Thanos (Infinity Gauntlet),1,2,1
Groot,Red Skull (Stonekeeper),2,1,2
She-Hulk,Polka-Dot Man,1,2,1
Ayo,Whiplash,2,1,2
Karathen,Mysterio,1,2,1
Starro,Namor,2,1,2
Jessica Jones,Lady Loki,1,2,1
Doctor Strange,Corvus Glaive,2,1,2
Rocket Raccoon,Kaecilius,2,1,2
Ego,Kid Loki,1,2,1
Karathen,Ego,2,1,2
Moon Knight,Killmonger,2,1,2
Sol Soria,Black Panther,2,1,2
Savant,Sersi (Uni-Mind),2,1,2
Enchantress,Thena,2,1,2
Crossbones,Gamora,1,2,1
Harley Quinn,Superman,2,1,2
Stature,Black Panther,2,1,2
Bucky Barnes,Doctor Sivana,1,2,1
Parademon,Korg,1,2,1
Ronin,Wong,2,1,2
Zeus,Gargantos,2,1,2
Ocean Master,Captain America (Worthy),1,2,1
Ajak,Malekith (Reality Stone),1,2,1
Queen Atlanna,Hawkeye (Variant),2,1,2
Loki,Lady Loki,2,1,2
White Wolf,Nam-Ek,1,2,1
Vulture,Doctor Fate,2,1,2
Valkyrie,War Machine,1,2,1
Malekith,Echo,1,2,1
Nick Fury,Wonder Woman,2,1,2
Ego,Supergirl,2,1,2
Malekith,Envy,1,2,1
Supergirl,Ultron,1,2,1
Moon Knight,Fenris,1,2,1
Sersi (Uni-Mind),Yellowjacket,1,2,1
MBaku,Dar-Benn,2,1,2
Ancient One (Time Stone),Black Mask,2,1,2
General Zod,She-Hulk,2,1,2
Nomad,Ayo,1,2,1
Ancient One,Okoye,2,1,2
Malekith (Reality Stone),Iron Monger,2,1,2
Korath the Pursuer,Killian,1,2,1
Kingo,Red Skull,2,1,2
Ultron,Gilgamesh,2,1,2
Fat Thor,Scarlet Witch,1,2,1
Supergirl,Superman,2,1,2
Elektra,Ant-Man,1,2,1
Fenris,Penthesileia,2,1,2
Mister Zsasz,Ikaris,1,2,1
Namor,Shazam,1,2,1
Cyclone,Sersi,2,1,2
Faora,Ms. Marvel,1,2,1
Captain Carter (Earth-838),Freddy Freeman,1,2,1
Thena,Bucky Barnes,1,2,1
Arishem the Judge,MBaku,1,2,1
Rick Flag,Hawkman,2,1,2
Gilgamesh,Nebula,2,1,2
Malekith,Nebula,1,2,1
Talos the Untamed,Iron Man (MK 1),2,1,2
Nomad,Doctor Sivana,1,2,1
Pepper Potts (Extremis),Winter Soldier,1,2,1
Peacemaker,Teenage Groot,2,1,2
Queen Atlanna,Dark Flash,2,1,2
Heimdall,Slipknot,2,1,2
The Executioner,Pepper Potts (Extremis),1,2,1
Spider-Man,Wonder Woman,1,2,1
High Evolutionary,Baron Mordo,2,1,2
Whiplash Mark II,Daredevil,2,1,2
Ms. America,Peacemaker,2,1,2
Giant-Man,Freddy Freeman,1,2,1
Yondu,General Zod,2,1,2
Doctor Fate,Dar-Benn,2,1,2
Darkseid,Shuri,1,2,1
Sersi,Harley Quinn,1,2,1
Starro,Hulk (Stark Gauntlet),1,2,1
Dark Flash,Moon Knight,2,1,2
Iron Monger,Wrath,2,1,2
Winter Soldier,Iron Spider,2,1,2
Philippus,Quake,2,1,2
Starro,Quake,1,2,1
Kang the Conqueror,El Diablo,1,2,1
El Diablo,Huntress,2,1,2
Dormammu,T.D.K.,2,1,2
Mantis,Ronin,2,1,2
Bloodsport,Zeus,1,2,1
Agatha Harkness,Mighty Thor,1,2,1
Doctor Strange,Loki (King of Asgard),2,1,2
Black Panther (Variant),Thor (Awakened),2,1,2
Ms. America,Red Skull,1,2,1
Mysterio,Ares,2,1,2
Eternity,Vulture,2,1,2
Mighty Thor,Deathlok,2,1,2
Penthesileia,Captain Marvel,2,1,2
Ratcatcher,Aquaman,2,1,2
Thanos,Philippus,1,2,1
Ebony Maw,Black Panther (Variant),1,2,1
Hawkeye,Harley Quinn,2,1,2
Arishem the Judge,Captain America (Worthy),1,2,1
Enchantress,Polka-Dot Man,2,1,2
Peacemaker,Eternity,1,2,1
Ghost Rider,Odin,1,2,1
Okoye,Smart Hulk,1,2,1
Whiplash Mark II,Star-Lord,1,2,1
Thor (Awakened),Deathlok,1,2,1
Ikaris,Harley Quinn,1,2,1
Giah,Teenage Groot,2,1,2
Mantis,High Evolutionary,2,1,2
Killian,Doctor Fate,1,2,1
Black Panther (Variant),Ghost,2,1,2
Leviathan,Fandral,2,1,2
T.D.K.,Ratcatcher,2,1,2
Thena,Black Bolt,2,1,2
Unworthy Thor,General Zod,1,2,1
Echo,Shang-Chi,2,1,2
Aquaman,Mandarin,2,1,2
Parademon,Captain Boomerang,2,1,2
Wanda Maximoff (Pre-Wandavision),Proxima Midnight,1,2,1
Eternity,Thanos,1,2,1
Okoye,Thena,1,2,1
Killian,Superman,1,2,1
Lady Loki,Warlock,2,1,2
Fandral,Ronan the Accuser,2,1,2
Doomsday,Faora,1,2,1
Quicksilver,Luke Cage,2,1,2
Loki (King of Asgard),Black Manta,2,1,2
Arishem the Judge,Black Bolt,1,2,1
Deathlok,Makkari,1,2,1
Agatha Harkness,Peacemaker,1,2,1
Captain America (Worthy),Superman,1,2,1
Ms. Marvel,Unworthy Thor,1,2,1
Fat Thor,Winter Soldier,1,2,1
Sif,Nick Fury,2,1,2
Freddy Freeman,Photon,1,2,1
Photon,Fat Thor,1,2,1
Malekith (Reality Stone),Gluttony,2,1,2
Odin,Loki (King of Asgard),1,2,1
Hawkman,Star-Lord (Celestial Power),1,2,1
Hawkeye (Variant),Eternity,2,1,2
Killian,Mister Zsasz,2,1,2
Ronan the Accuser (Power Stone),Talos the Untamed,2,1,2
Proxima Midnight,Black Widow,2,1,2
Nick Fury,Black Widow (Variant),1,2,1
Captain America (Worthy),Proxima Midnight,1,2,1
Thena,Iron Monger,1,2,1
Daredevil,Quake,2,1,2
Lex Luthor,Ego,1,2,1
Talos the Untamed,Ronan the Accuser,1,2,1
Captain America (Worthy),Hela,2,1,2
Kaecilius,Rick Flag,2,1,2
Black Manta,Quake,1,2,1
MBaku,Deathlok,2,1,2
Doctor Fate,Quake,2,1,2
Kaecilius,Loki (Variant L1130),2,1,2
Ratcatcher,Kid Loki,1,2,1
Luke Cage,Nam-Ek,2,1,2
Shang-Chi,Ayo,2,1,2
Quake,Leo Fitz,2,1,2
Iron Man,Wrath,2,1,2
Drax the Destroyer,Giant-Man,1,2,1
Korath the Pursuer,Killmonger,2,1,2
Ghost,Ajak,2,1,2
Wrath,Ghost,2,1,2
She-Hulk,Killer Croc,1,2,1
Doctor Fate,Destroyer,1,2,1
Fat Thor,The Flash,2,1,2
Loki (King of Asgard),Killmonger,2,1,2
Ego,Ms. America,2,1,2
Hela,Loki (Variant L1130),1,2,1
Philippus,Hela,2,1,2
Sersi (Uni-Mind),Thor (Pre-Ragnarok),1,2,1
Iron Spider,Slipknot,2,1,2
Warlock,El Diablo,2,1,2
Nuidis Vulko,Iron Spider,2,1,2
Ronan the Accuser (Power Stone),Crossbones,2,1,2
Giah,Odin,1,2,1
Ancient One (Time Stone),General Zod,2,1,2
Ikaris,Huntress,2,1,2
Groot,Zeus,1,2,1
Yellowjacket,Valkyrie,2,1,2
Cull Obsidian,Black Mask,1,2,1
Doctor Fate,Iron Man,2,1,2
Ancient One (Time Stone),Taskmaster,2,1,2
Captain Boomerang,Sinister Strange,1,2,1
Spectral Vision,Katana,1,2,1
Killmonger,Korg,1,2,1
Penthesileia,White Dragon,2,1,2
Star-Lord (Celestial Power),Wanda Maximoff (Pre-Wandavision),1,2,1
Nomad,Ghost Rider,2,1,2
Stature,Unworthy Thor,1,2,1
Kingo,Philippus,1,2,1
Falcon,Echo,1,2,1
The Executioner,Yondu,1,2,1
Frigga,Wanda Maximoff (Pre-Wandavision),2,1,2
Pepper Potts (Extremis),El Diablo,1,2,1
Iron Man (MK 1),Ironheart,2,1,2
Superman,Elektra,2,1,2
Giah,Red Guardian,2,1,2
Dormammu,Jessica Jones,2,1,2
Enchantress,Killian,1,2,1
Loki (Keeper of the Multiverse),Hulk,1,2,1
Yondu,Mantis,1,2,1
Starro,Nick Fury,2,1,2
Karathen,Moon Knight,2,1,2
Outrider,Superman,1,2,1
Iron Man,Kingo,2,1,2
Superman,Ocean Master,1,2,1
Captain Carter (Earth-838),Dark Flash,1,2,1
Smart Hulk,Ms. America,1,2,1
Ayo,Ancient One,2,1,2
Doomsday,Sol Soria,1,2,1
Pepper Potts (Extremis),Lady Loki,1,2,1
Hela,Wonder Woman,1,2,1
Taskmaster,Namor,1,2,1
Deathlok,Doctor Strange,1,2,1
The Executioner,Nick Fury,2,1,2
Ant-Man,Fandral,2,1,2
Slipknot,Eternity,2,1,2
Wrath,Hawkman,1,2,1
Loki (King of Asgard),Taskmaster,1,2,1
Warlock,Eternity,1,2,1
Luke Cage,Fat Thor,1,2,1
Black Panther (Variant),Wonder Woman,2,1,2
Mera,Ocean Master,1,2,1
Proxima Midnight,Queen Atlanna,1,2,1
Wonder Woman,Luke Cage,1,2,1
Judomaster,Harley Quinn,2,1,2
Kid Loki,Deathlok,2,1,2
War Machine,Kingpin,1,2,1
Ronin,Black Widow,2,1,2
Jessica Jones,Surtur,1,2,1
Iron Man (Stark Gauntlet),Swole Groot,2,1,2
Doomsday,Lust,2,1,2
Swole Groot,Ocean Master,1,2,1
El Diablo,Sersi (Uni-Mind),2,1,2
Lust,The Great Protector,1,2,1
Ego,Batman,1,2,1
Deathlok,Atom Smasher,1,2,1
Thanos (Infinity Gauntlet),Ancient One (Time Stone),1,2,1
Taskmaster,Vigilante,2,1,2
Warlock,Captain America,2,1,2
Sinister Strange,Green Lantern,1,2,1
Giah,Black Panther (Variant),1,2,1
Mandarin,Wanda Maximoff (Pre-Wandavision),1,2,1
Gluttony,Sinister Strange,2,1,2
MODOK,Zeus,1,2,1
Hespera,T.D.K.,1,2,1
Echo,Loki (King of Asgard),2,1,2
Gamora,Sersi (Uni-Mind),2,1,2
Wasp,Sersi,1,2,1
Captain America (Worthy),Groot,2,1,2
Shuri,Loki (King of Asgard),1,2,1
Atom Smasher,Jessica Jones,1,2,1
Baron Zemo,Cassandra Cain,2,1,2
Black Manta,Wasp,1,2,1
Black Panther (Variant),Judomaster,1,2,1
Gluttony,Dar-Benn,1,2,1
Fandral,Leviathan,2,1,2
Vulture,Enchantress,2,1,2
Ronan the Accuser,Thanos (Infinity Gauntlet),1,2,1
Kurse,MBaku,2,1,2
Abomination,Fat Thor,1,2,1
T.D.K.,Kingpin,1,2,1
Heimdall,Valkyrie,2,1,2
Kaecilius,Doctor Fate,1,2,1
Loki (Mind Stone),Echo,1,2,1
Dar-Benn,Whiplash,2,1,2
Korg,Hawkman,2,1,2
Nebula,Hawkeye,2,1,2
Drax the Destroyer,Black Widow (Variant),2,1,2
Wong,Bullseye,2,1,2
Sersi (Uni-Mind),Spider-Man,2,1,2
Iron Spider,Loki (Mind Stone),2,1,2
War Machine,Taskmaster,2,1,2
Kurse,Wanda Maximoff (Pre-Wandavision),2,1,2
Daredevil,Green Lantern,1,2,1
Black Panther (Variant),Hespera,2,1,2
Luke Cage,Taskmaster,2,1,2
Harley Quinn,Huntress,2,1,2
Photon,Ronan the Accuser (Power Stone),2,1,2
Killmonger,Corvus Glaive,2,1,2
She-Hulk,Baron Zemo,2,1,2
Green Lantern,Jessica Jones,2,1,2
Star-Lord,Savant,1,2,1
Elektra,Green Lantern,2,1,2
Hulk (Stark Gauntlet),Okoye,1,2,1
Okoye,Black Widow (Variant),2,1,2
Thanos,Heimdall,1,2,1
Abomination,Shang-Chi,2,1,2
Smart Hulk,Karathen,1,2,1
Gamora,Shang-Chi,2,1,2
Iron Man,Iron Spider,2,1,2
Echo,Vulture,1,2,1
Wolverine,Red Skull (Stonekeeper),1,2,1
Wolverine,Heimdall,1,2,1
Smart Hulk,Vigilante,1,2,1
Hawkeye (Variant),Hulk (Stark Gauntlet),1,2,1
Drax the Destroyer,Hulk (Stark Gauntlet),1,2,1
Envy,Nomad,1,2,1
Parademon,Kingo,2,1,2
Vigilante,Star-Lord (Celestial Power),2,1,2
Captain Carter (Earth-838),Nam-Ek,2,1,2
Abomination,Cassandra Cain,1,2,1
Black Bolt,Chitauri Footsoldier,2,1,2
The Collector,Zeus,2,1,2
Bullseye,Iron Man,2,1,2
Ancient One (Time Stone),Whiplash,2,1,2
T.D.K.,Warlock,2,1,2
Ayo,Wonder Woman,1,2,1
Odin,Mandarin,1,2,1
Ronin,Hulk,1,2,1
Mr. Fantastic (Earth-838),Baron Zemo,2,1,2
Elektra,Dormammu,2,1,2
Black Panther (Variant),Baron Zemo,1,2,1
Giant-Man,Gravik,2,1,2
Mantis,Thanos,2,1,2
Ghost,Thanos,2,1,2
Ebony Maw,Karathen,2,1,2
High Evolutionary,Deadshot,2,1,2
Captain Marvel,Mandarin,1,2,1
Ebony Maw,Sinister Strange,1,2,1
Heimdall,Gluttony,2,1,2
Wasp,Doctor Fate,2,1,2
Queen Hippolyta,Vigilante,1,2,1
Black Adam,Iron Man,1,2,1
Sersi,Wolverine,2,1,2
Joker,Ocean Master,1,2,1
Loki (Variant L1130),Ajak,2,1,2
Kid Loki,Jessica Jones,2,1,2
White Dragon,Green Lantern,1,2,1
Giant-Man,Malekith (Reality Stone),2,1,2
General Zod,Black Mask,1,2,1
Captain America,Teenage Groot,1,2,1
Iron Spider,Falcon,2,1,2
Leviathan,Eternity,2,1,2
MODOK,Mantis,1,2,1
Queen Hippolyta,Baron Zemo,2,1,2
Vigilante,Doomsday,2,1,2
Star-Lord,Fat Thor,1,2,1
Corvus Glaive,Nam-Ek,1,2,1
Ghost,Agatha Harkness,2,1,2
Ironheart,Sol Soria,2,1,2
Loki (Mind Stone),Sersi,1,2,1
Black Widow (Variant),Fandral,1,2,1
Dark Flash,Killian,2,1,2
Heimdall,Bloodsport,2,1,2
Ancient One,Sif,2,1,2
Okoye,Kid Loki,2,1,2
Deathlok,Mighty Thor,2,1,2
Deathlok,Mantis,1,2,1
Cyclone,High Evolutionary,1,2,1
Quicksilver,Shang-Chi,1,2,1
Valkyrie,Ultron,1,2,1
Gravik,Thor (Pre-Ragnarok),1,2,1
Nick Fury,King Shark,2,1,2
Dar-Benn,Iron Spider,2,1,2
Elektra,Agatha Harkness,2,1,2
Drax the Destroyer,Shang-Chi,2,1,2
Sersi (Uni-Mind),Shang-Chi,1,2,1
Malekith (Reality Stone),Ocean Master,1,2,1
Deadshot,Echo,1,2,1
Elektra,King Nereus,2,1,2
Dar-Benn,Stature,2,1,2
Katana,Thor (Awakened),2,1,2
The Executioner,Mantis,1,2,1
Iron Man (Hulkbuster),Valkyrie,2,1,2
Green Lantern,Captain America,2,1,2
Ayo,Makkari,1,2,1
Wong,Black Panther (Variant),2,1,2
Killian,Sersi (Uni-Mind),1,2,1
Sol Soria,Lady Loki,2,1,2
Black Panther (Variant),Mighty Thor,1,2,1
Red Skull (Stonekeeper),Baby Groot,1,2,1
Ronan the Accuser (Power Stone),Dar-Benn,2,1,2
Surtur,Wanda Maximoff (Pre-Wandavision),2,1,2
Talos the Untamed,Judomaster,2,1,2
Bloodsport,Ayo,1,2,1
Rescue,Thena,2,1,2
Surtur,Yondu,1,2,1
Savant,Odin,2,1,2
Wonder Woman,Elektra,1,2,1
Hawkeye,Nuidis Vulko,2,1,2
Batman,Vision,1,2,1
Baron Zemo,The Punisher,1,2,1
Captain Boomerang,Queen Hippolyta,2,1,2
Corvus Glaive,Black Widow,2,1,2
Unworthy Thor,Thanos,1,2,1
Star-Lord,Superman,2,1,2
